File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
SLR 0006-2022,,SLR,Adopted,Committee on State and Federal Legislation,Shaun Abreu,1,"State Legislation Resolution requesting the New York State Legislature to pass bills introduced by Senators Gounardes, Biaggi, Cleare, Gianaris, Hoylman, Jackson, Kavanagh, Krueger, Myrie, Persaud, Ramos, Rivera, and Sepulveda, S.5602-B, and Committee on Rules (at request of Assembly Member Glick), A.10438, “AN ACT to amend the vehicle and traffic law, in relation to photo speed violation monitoring systems in school speed zones in the city of New York; and to amend chapter 189 of the laws of 2013, amending the vehicle and traffic law and the public officers law relating to establishing in"
SLR 0005-2022,,SLR,Adopted,Committee on State and Federal Legislation,Shaun Abreu,1,"State Legislation Resolution requesting the New York State Legislature to pass bills introduced by Senator Gounardes, S.1608, and Assembly Member Abbate, A.4006, “AN ACT to amend the civil service law, in relation to the appointment and promotion of certain personnel of the sanitation department of the city of New York"
T2022-1408,,Oversight,Filed,Committee on Resiliency and Waterfronts,,0,Oversight - Abandoned Boats Along the Waterfront
M 0070-2022,,Land Use Call-Up,Adopted,City Council,"Rafael Salamanca, Jr.",1,"By The Chair of the Land Use Committee (Council Member Salamanca): Pursuant to Sections 11.20(b-d) of the Council Rules and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the action of the City Planning Commission on Application No. C 220235 PPQ (Resilient Edgemere Community Initiative) shall be subject to Council review. This item is related to Application Nos. C 220232 ZMQ, N 220233 ZRQ, C 220236 HAQ, and C 220237 HUQ."
Res 0177-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2720, Lot 69) Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 60)."
Res 0175-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,RESOLUTION APPROVING THE MODIFICATION (MN-5) OF UNITS OF APPROPRIATION AND THE TRANSFER OF CITY FUNDS BETWEEN AGENCIES PROPOSED BY THE MAYOR PURSUANT TO SECTION 107(b) OF THE NEW YORK CITY CHARTER.
Res 0183-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF DAVID DO AS A MEMBER OF THE NEW YORK CITY TAXI AND LIMOUSINE COMMISSION.
Res 0184-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE COUNCIL OF ROBERT HOGAN AS A MEMBER OF THE NEW YORK CITY CIVILIAN COMPLAINT REVIEW BOARD.
Res 0176-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,Communication from the Office of Management & Budget - Approving a Modification (MN-6) Pursuant to Section 107(e) of the Charter of the City of New York.
M 0063-2022,,Communication,Adopted,Committee on Finance,,0,"Communication from the New York City Banking Commission - Transmitting recommendations of the interest rate to be charged for Fiscal Year 2023 for non-payment of taxes on real estate and for the discount rate to be allowed for early payment of real estate taxes for Fiscal Year 2023, pursuant to the City Charter."
M 0062-2022,,Communication,Filed,City Council,,0,"Withdrawal of M 58 of 2022 - Submitting the name of Ms. Leila Bozorg, to the Council for its advice and consent regarding her appointment to the City Planning Commission."
Res 0169-2022,,Resolution,Adopted,Committee on Environmental Protection,Lincoln Restler,38,"Resolution calling for the Climate Action Council to draft, and the Governor to implement, a final Climate Action Council Scoping Plan that commits to meeting CLCPA targets and bold climate & environmental justice action in New York."
Int 0414-2022,2022/108,Introduction,Enacted,Committee on Sanitation and Solid Waste Management,Chi A. Oss�,42,"A Local Law to amend the administrative code of the city of New York, in relation to rat mitigation progress in rat mitigation zones"
Res 0162-2022,,Resolution,Adopted,Committee on Consumer and Worker Protection,Linda Lee,27,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, amendments to article 4 of the Public Service Law to prevent a utility’s rate case from exceeding a certain percentage each yea"
Int 0409-2022,2022/084,Introduction,Enacted,Committee on Health,Farah N. Louis,23,"A Local Law to amend the administrative code of the city of New York, in relation to increasing access to data on maternal mortality and morbidity"
Int 0383-2022,2022/095,Introduction,Enacted,Committee on Small Business,Gale A. Brewer,8,"A Local Law to amend the administrative code of the city of New York, in relation to the registration requirements and the datasets for ground floor or second floor commercial premises"
SLR 0004-2022,,SLR,Adopted,Committee on State and Federal Legislation,Shaun Abreu,1,"State Legislation Resolution requesting the New York State Legislature to pass bills introduced by Senator Gounardes, S.6988-B, and Assembly Members Abbate, Griffin, A.7962-A, “AN ACT to amend the retirement and social security law and the administrative code of the city of New York, in relation to the establishment of twenty-five year retirement programs for members of the New York city employees' retirement system employed as fire protection inspectors and associate fire protection inspectors"
SLR 0003-2022,,SLR,Adopted,Committee on State and Federal Legislation,Shaun Abreu,2,"State Legislation Resolution requesting the New York State Legislature to pass bills introduced by Senators Gounardes, Kaminsky, S.6980-B, and Assembly Member Abbate, A.10029, “AN ACT to amend the retirement and social security law, in relation to authorizing police/fire members of the New York city fire department pension fund to obtain credit for service as an EMT member"
SLR 0002-2022,,SLR,Adopted,Committee on State and Federal Legislation,Shaun Abreu,2,"State Legislation Resolution requesting the New York State Legislature to pass bills introduced by Senator Gounardes, S.6985-B, and Assembly Member Abbate, A.7873A, “AN ACT to amend the retirement and social security law, in relation to automotive members of the New York city employees' retirement system"
SLR 0001-2022,,SLR,Adopted,Committee on State and Federal Legislation,Shaun Abreu,2,"State Legislation Resolution requesting the New York State Legislature to pass bills introduced by Senator Gounardes, S.6981-B, and Assembly Member Abbate, A.7971A, “AN ACT to amend the retirement and social security law, in relation to additional member contributions for certain members under the age fifty-seven retirement program"
Int 0372-2022,2022/080,Introduction,Enacted,Committee on Consumer and Worker Protection,Adrienne E. Adams,16,"A Local Law to amend the New York city charter, in relation to the creation of an office of the utility advocate"
LU 0066-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 200336 ZRK (98 Third Avenue) submitted by 98 Third Avenue Realty, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Brooklyn, Community District 2, Council District 33."
LU 0065-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 200335 ZMK (98 Third Avenue) submitted by 98 Third Avenue Realty, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 16c, changing from an M1-2 District to an R6B District, changing from an M1-2 District to an R7D District, and establishing within the proposed R7D District a C2-4 District, Borough of Brooklyn, Community District 2, Council District 33."
LU 0064-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 200229 ZRX (4541 Furman Avenue Rezoning) submitted by Markland 4551, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing area and Appendix I for the purpose of modifying the existing Transit Zone, Borough of the Bronx, Community District 12, Council District 11."
LU 0063-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 200228 ZMX (4541 Furman Avenue Rezoning) submitted by Markland 4551, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 2a, changing from an M1-1 District to an R7D District and establishing within the proposed R7D District a C2-4 District, Borough of the Bronx, Community District 12, Council District 11."
LU 0062-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number C 210294 ZSX (EMS Station 17 New Facility) submitted by the New York City Fire Department (FDNY) and the Department of Citywide Administrative Services (DCAS), pursuant to Sections 197-c and 201 of the New York City Charter for the grant of a special permit pursuant to Section 74-67 of the Zoning Resolution to allow a FDNY Emergency Medical Service (EMS) Station use to be located in a residence district, in connection with a proposed 2-story EMS station building, on property located at 1257 Morris Avenue (Block 2450, Lot 42), in an R7-1 District, Borough of the Bronx, Commu"
LU 0061-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number C 210293 PSX (EMS Station 17 New Facility) submitted by the New York City Fire Department (NYFD) and the Department of Citywide Administrative Services (DCAS), pursuant to Section 197-c of the New York City Charter, for the site selection of property located at 1257 Morris Avenue (Block 2450, Lot 42) for use as an ambulance station EMS facility, Borough of the Bronx, Community District 4, Council District 16."
M 0064-2022,,Communication,Adopted,Committee on Finance,,0,Communication from the Office of Management & Budget - Approving the Modification (MN-5) of Units of Appropriation and the Transfer of City Funds Between Agencies Proposed by the Mayor Pursuant to Section 107(b) of the Charter of the City of New York.
LU 0060-2022,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"788 Fox Street; Block 2720, Lot 69; Bronx, Council District No. 8."
Res 0160-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget.
M 0065-2022,,Communication,Adopted,Committee on Finance,,0,Communication from the Office of Management & Budget - Approving a Modification (MN-6) Pursuant to Section 107(e) of the Charter of the City of New York.
M 0066-2022,,Land Use Call-Up,Adopted,City Council,Althea V. Stevens,1,"By Council Member Stevens Pursuant to Sections 11.20(b-d) of the Council Rules and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the actions of the City Planning Commission on Application Nos. C 210293 PSX and C 210294 ZSX (EMS Station 17 New Facility) shall be subject to Council review."
Res 0173-2022,,Resolution,Adopted,Committee on Consumer and Worker Protection,Sandra Ung,15,Resolution calling upon the Governor and New York State Legislature to expand financial relief programs to assist City residents struggling to pay their utility bills.
Res 0174-2022,,Resolution,Adopted,Committee on Consumer and Worker Protection,Marjorie Velázque,15,Resolution calling upon Consolidated Edison to improve communication with City residents about increases in utility costs
Res 0172-2022,,Resolution,Adopted,Committee on Consumer and Worker Protection,"Rafael Salamanca, Jr.",12,Resolution calling on New York State to increase the number of Commissioners on the Public Service Commission and permit New York City to appoint two of its Commissioners
Int 0404-2022,2022/122,Introduction,Enacted,"Committee on Mental Health, Disabilities and Addiction",Linda Lee,32,A Local Law in relation to a report tracking the funds paid pursuant to the New York opioid settlement sharing agreement
Res 0182-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on Application No. N 220051 ZRQ, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 49)."
Res 0181-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 220050 ZMQ, a Zoning Map amendment (Preconsidered L.U. No. 48)."
Res 0180-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 200358 ZMK, a Zoning Map amendment (Preconsidered L.U. No. 47)."
Res 0179-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the application submitted by the New York City Department of Housing Preservation and Development (“HPD”) and the decision of the City Planning Commission, ULURP No. C 220209 HAK, approving the designation of an Urban Development Action Area, an Urban Development Action Area Project, and the disposition of city-owned property located at 31 Bartlett Street (Block 2269, Lot 52), Borough of Brooklyn, Community District 1, to a developer selected by HPD (Preconsidered L.U. No. 46; C 220209 H"
Res 0220-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on Application No. N 210313 ZRK, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 42)."
Res 0219-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 210312 ZMK, a Zoning Map amendment (Preconsidered L.U. No. 41)."
Res 0178-2022,,Resolution,Filed,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving a motion to file pursuant to withdrawal of the application regarding the decision of the City Planning Commission on Application No. N 200247 ZRQ, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 40)."
Res 0218-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving with modifications the decision of the City Planning Commission on ULURP No. C 200246 ZMQ, a Zoning Map amendment (Preconsidered L.U. No. 39)."
T2022-1249,,Oversight,Filed,"Committee on Mental Health, Disabilities and Addiction",,0,Oversight – Tracking the Opioid Settlement Fund and its Related Program
Int 0347-2022,2022/072,Introduction,Enacted,Committee on Finance,Keith Powers,4,"A Local Law to amend the administrative code of the city of New York, in relation to suspending the tax imposed by chapter 24 of title 11 of such code for the tax year beginning on June 1, 2022"
M 0059-2022,,Communication,"Received, Ordered, Printed and Filed",City Council,,0,"Communication from the Office of Management and Budget – Submitting the Annual Statement of Debt Affordability, as required by Chapter 16 of the Laws of 1997 of the State of New Yor"
T2022-1196,,Oversight,Filed,Committee on Immigration,,0,NEW YORK CITY COUNCIL FISCAL YEAR 2023 EXECUTIVE BUDGET HEARINGS 11:45 - 1:30 Immigrant Affairs Jointly with the Committee on Immigration
M 0060-2022,,Communication,Adopted,"Committee on Rules, Privileges and Elections",,0,"Robert Hogan, a resident of Queens, Council candidate for appointment to the New York City Civilian Complaint Review Board, pursuant to § 440 (b)(1) of the New York City Charter"
Res 0159-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",1,"Resolution approving the cemetery merger request of the Mount Carmel Cemetery located at 83-55 Cypress Hills Street (Block 3750, Lot 655) with the Mount Neboh Cemetery located at 82-07 Cypress Hills Street (Block 3750, Lot 705), Borough of Queens, for use as cemetery purposes (Application No. G 220013 CCQ; Preconsidered L.U. No. 44)"
Res 0158-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the transfer of real property located on Block 1773, Lots 4 and 72, currently owned by the City of New York, to the Metropolitan Transportation Authority (“MTA”), to facilitate the construction of a new station entrance and ancillary facility for the 125th Street station of the Second Avenue Subway Phase 2, in Community District 11, Borough of Manhattan (G 220010 TAM; Preconsidered L.U. No. "
M 0061-2022,,Land Use Call-Up,Adopted,City Council,"Rafael Salamanca, Jr.",1,"By The Chair of the Land Use Committee (Council Member Salamanca) Pursuant to Sections 11.20(b-d) of the Council Rules and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the actions of the City Planning Commission on Application Nos. C 220136 ZSM, C 220137(A) ZSM, and C 220142 ZSM (ONE45/MUSEUM OF CIVIL RIGHTS) shall be subject to Council review. These items are related to Application Nos. C 220134 ZMM and N 220135 ZRM."
LU 0059-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 210392 ZRX (1930 Adee Avenue Rezoning) submitted by Centerland Realty, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of the Bronx, Community District 12, Council District 12."
LU 0058-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 210391 ZMX (1930 Adee Avenue Rezoning) submitted by Centerland Realty, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section Nos. 2b and 4a, by changing from an R4 District to an R6B District, Borough of the Bronx, Community District 12, Council District 12."
LU 0057-2022,,Land Use Application,Filed,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220142 ZSM (One 45/Museum of Civil Rights) submitted by One45 Lenox, LLC, pursuant to Sections197-c and 201 of the New York City Charter for the grant of a special permit pursuant to Section 74-533 of the Zoning Resolution to reduce the required accessory off-street parking spaces to 130 spaces (20%) for dwelling units in a development within a Transit Zone, that includes at least 20 percent of all dwelling units as income-restricted housing units, in connection with a proposed mixed-use development, within a large-scale general development, bounded by West 145th Street,"
LU 0056-2022,,Land Use Application,Filed,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220137(A) ZSM (One 45/Museum of Civil Rights) submitted by One45 Lenox, LLC, pursuant to Sections 197-c and 201 and proposed for modification pursuant to Section 2-06(c)(1) of the Uniform Land Use Review Procedure of the New York City Charter for the grant of special permits pursuant to Section 74-744(b) of the Zoning Resolution to modify requirements of Section 32-42 (Location Within Buildings) to allow commercial uses (banquet hall use & office amenity space) to be located above residential use, and to modify the requirements of Section 32-423 (Limitation on ground floor"
LU 0055-2022,,Land Use Application,Filed,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220136 ZSM (One 45/Museum of Civil Rights) submitted by One45 Lenox, LLC, pursuant to Sections 197c and 201 of the New York City Charter for the grant of a special permit pursuant to Section 74-743 of the Zoning Resolution to modify the tower regulations of Section 35-64 (Special Tower Regulations for Mixed Buildings) of a mixed-use building (Building 1), in connection with a proposed mixed-use development, within a large-scale general development, bounded by West 145th Street, Lenox Avenue – Malcolm X. Boulevard, West 144th Street, a line 100 feet northwesterly of Lenox"
LU 0054-2022,,Land Use Application,Filed,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 220135 ZRM (One 45/Museum of Civil Rights) submitted by One45 Lenox, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Article VII, Chapter 4 for the purpose of amending location of commercial use regulations, and modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Manhattan, Community District 10, Council District 9."
LU 0053-2022,,Land Use Application,Filed,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220134 ZMM (One 45/Museum of Civil Rights) submitted by One45 Lenox, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 6a, eliminating from an existing R7-2 District a C1-4 District, changing from an R7-2 District to a C4-6 District, changing from a C8-3 District to a C4-6 District, Borough of Manhattan, Community District 10, Council District 9."
LU 0052-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number C 220159 HAK (Sutter Place NCP) submitted by the Department of Housing Preservation and Development (HPD), pursuant to Article 16 of the General Municipal Law of New York State for the designation of an Urban Development Action Area and an Urban Development Action Area Project for such area, and pursuant to Section 197-c of the New York City Charter for the disposition of such property to a developer to be selected by HPD, to facilitate the development of four buildings containing an approximate total of 46 affordable housing units and a commercial space on property located"
Res 0154-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget.
Int 0303-2022,2022/068,Introduction,Enacted,Committee on General Welfare,Alexa Avilé,24,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of homeless services and the human resources administration to track and report certain data regarding rental assistance programs"
Int 0291-2022,2022/115,Introduction,Enacted,Committee on Transportation and Infrastructure,Carlina Rivera,34,"A Local Law to amend the administrative code of the city of New York, in relation to a citywide greenway plan"
Int 0296-2022,2022/098,Introduction,Enacted,Committee on Technology,Sandra Ung,24,"A Local Law to amend the administrative code of the city of New York, in relation to the identification of languages spoken by callers to the 311 customer service center"
Int 0258-2022,2022/114,Introduction,Enacted,Committee on Transportation and Infrastructure,Rita C. Joseph,39,A Local Law in relation to a report on suitable locations for installing public bathrooms
Int 0240-2022,2022/097,Introduction,Enacted,Committee on Technology,Jennifer Gutiérre,28,"A Local Law to amend the administrative code of the city of New York, in relation to the department of information technology and telecommunications updating 311 complaint types and reporting on such updates"
Int 0242-2022,2022/099,Introduction,Enacted,Committee on Women and Gender Equity,Jennifer Gutiérre,31,"A Local Law in relation to the establishment of a Marshall plan for moms task force to develop and issue recommendations on how to support working mothers, other parents, and caregivers"
Int 0212-2022,2022/079,Introduction,Enacted,Committee on General Welfare,Diana I. Ayala,23,"A Local Law to amend the administrative code of the city of New York, in relation to updating the report on utilization of and applications for multi-agency emergency housing assistance, exits from city-administered facilities and the financings, starts and completions of permanent housing for those exiting city-administered facilities"
M 0056-2022,,Mayor's Message,Filed,Committee on Finance,,0,"Communication from the Mayor - Submitting the Budget Summary, the Message of the Mayor, and the Program to Eliminate the Gap relative to the Executive Budget, Fiscal Year 2023, pursuant to Section 249 of the New York City Charter."
M 0055-2022,,Mayor's Message,Filed,Committee on Finance,,0,Communication from the Mayor - Submitting the Executive Budget - Geographic Reports for Expense Budget for Fiscal Year 2023.
M 0054-2022,,Mayor's Message,Filed,Committee on Finance,,0,"Communication from the Mayor - Submitting the Capital Commitment Plan, Executive Budget, Fiscal Year 2023, Volumes I, II, III and IV, pursuant to Section 219(d) of the New York City Charter."
Res 0137-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 15528, Lots 5, 6, and 9) Queens, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 43)."
M 0053-2022,,Mayor's Message,Filed,Committee on Finance,,0,"Communication from the Mayor - Submitting the Executive Budget Supporting Schedules, for Fiscal Year 2023 pursuant to Section 250 of the New York City Charter."
M 0052-2022,,Mayor's Message,Adopted,Committee on Finance,,0,"Communication from the Mayor - Submitting the Proposed City Fiscal Year 2023 Community Development Program, the Proposed CFY'23 Budget, the Proposed Reallocations-the CD XLVIII Funds, Proposed CD XLIX Statement of Objectives and Budget, dated April 26, 2022."
M 0051-2022,,Mayor's Message,Adopted,Committee on Finance,,0,"Communication from the Mayor - Submitting the Executive Capital Budget for Fiscal Year 2023, pursuant to Section 249 of the New York City Charter."
M 0050-2022,,Mayor's Message,Adopted,Committee on Finance,,0,"Communication from the Mayor - Submitting the Expense Revenue Contract Budget, for Fiscal Year 2023, pursuant to Section 249 of the New York City Charter."
M 0057-2022,,Mayor's Message,"Received, Ordered, Printed and Filed",City Council,,0,"Communication from the Mayor - Submitting certificate setting forth the maximum amount of debt and reserves which the City, and the NYC Municipal Water Finance Authority, may soundly incur for capital projects for Fiscal Year 2023 and the ensuing three fiscal years, and the maximum amount of appropriations and expenditures for capital projects which may soundly be made during each fiscal year, pursuant to Section 250 of the New York City Charter."
M 0049-2022,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor - Submitting the name of David Do to the Council for its advice and consent regarding his appointment as Chair and Chief Executive Officer of the New York City Taxi and Limousine Commission, pursuant to Sections 31 and 2301 of the City Charter."
M 0058-2022,,Communication,Filed,"Committee on Rules, Privileges and Elections",,0,"Communication from the Manhattan Borough President - Submitting the name of Ms. Leila Bozorg, to the Council for its advice and consent regarding her appointment to the City Planning Commission, pursuant to Sections 31 and 192 of the City Charter."
Res 0141-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on Application No. N 210322 ZRX, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 38)."
Res 0140-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 210321 ZMX, a Zoning Map amendment (Preconsidered L.U. No. 37)."
Res 0139-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on Application No. N 210099 ZRK, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 36)."
Res 0138-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 210098 ZMK, a Zoning Map amendment (Preconsidered L.U. No. 35)."
Res 0142-2022,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",1,"Resolution approving the requests for findings submitted by the New York City Department of Housing Preservation and Development (“HPD”) related to the decision of the City Planning Commission, ULURP No. C 220132 HAM, approving the designation of an Urban Development Action Area, an Urban Development Action Area Project, and the disposition of property located at 215-225 East 45th Street (Block 1319, Lots 8 and 11), Borough of Manhattan, Community District 6, to a developer selected by HPD (Pre. Res. 142; G 220014 C"
T2022-1025,,Oversight,Filed,Committee on Consumer and Worker Protection,,0,Oversight - Con Edison Price Increases
LU 0051-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 210300 ZRK (840 Lorimer Street Rezoning) submitted by Zucker Enterprises, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Brooklyn, Community District 1, Council District 33."
LU 0050-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 210299 ZMK (840 Lorimer Street Rezoning) submitted by Zucker Enterprises, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 13a, eliminating from within an existing R6A District a C2-4 District, eliminating a Special Mixed Use District (MX-8), changing from an R6A District to a C4-5D District, and changing from an M1-2/R6 District to a C4-5D District, Borough of Brooklyn, Community District 1, Council District 33."
LU 0049-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 220051 ZRQ (35-01 Vernon Boulevard Rezoning) submitted by Agayev Holding, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Queens, Community District 1, Council District 26."
LU 0048-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220050 ZMQ (35-01 Vernon Boulevard Rezoning) submitted by Agayev Holding, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 9a, changing from an R5 District to an M1-4/R7A District and establishing a Special Mixed Use District (MX-23), Borough of Queens, Community District 1, Council District 26."
LU 0047-2022,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 200358 ZMK (2300 Cropsey Avenue) submitted by Cropsey Partners, LLC, pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 28c, by establishing within an existing R6 District a C2-4 District, Borough of Brooklyn, Community District 11, Council District 43."
LU 0046-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number C 220209 HAK (Broadway Triangle-Bartlett Crossing) submitted by the New York City Department of Housing Preservation and Development (HPD), pursuant to Article 16 of the General Municipal Law of New York State for the designation of an Urban Development Action Area and an Urban Development Action Area Project, and pursuant to Section 197-c of the New York City Charter for the disposition of such property to a developer to be selected by HPD, for property located at 31 Bartlett Street (Block 2269, Lot 52), Borough of Brooklyn, Community District 1, Council District 33."
LU 0045-2022,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number G 220012 XAM (34 Morningside Avenue Cluster) submitted by the New York City Department of Housing Preservation and Development (HPD) pursuant to Article 16 of the General Municipal Law and Article XI of the Private Housing Finance Law, requesting approval of an Urban Development Action Area Project, waiver of the designation requirement of Section 693 of the General Municipal Law and waiver of the requirements of Charter Sections 197-c and 197-d, and approval of an exemption from real property taxation for properties located at 494 Manhattan Avenue (Block 1947, Lot 118), 321"
