File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
Res 0540-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. N 230045 ZRM, for an amendment of the text of the Zoning Resolution (Preconsidered L.U. No. 178)."
Res 0539-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on Application No. N 220307 ZRX, for an amendment of the text of the Zoning Resolution (Pre. L.U. No. 173)."
Res 0538-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the decision of the City Planning Commission on ULURP No. C 220306 ZMX, a Zoning Map amendment (Preconsidered L.U. No. 172)."
Res 0537-2023,,Resolution,Filed,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving a motion to file pursuant to withdrawal of the application regarding the decision of the City Planning Commission on Application No. N 210091 ZRK, for an amendment of the text of the Zoning Resolution (L.U. No. 169)."
Res 0536-2023,,Resolution,Filed,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving a motion to file pursuant to withdrawal of the application regarding the decision of the City Planning Commission on Application No. C 210090 ZMK, a Zoning Map amendment (L.U. No. 168)."
T2023-3130,,Oversight,Filed,Committee on Housing and Buildings,,0,Oversight - Universal Access to Legal Services Law and Tenant Protection.
T2023-3124,,N/A,Adopted,Brooklyn Delegation of the New York City Council,,0,"Meeting of the Brooklyn Delegation of the New York City Council, pursuant to Section 2403 of the Charter, recommending Bobbie Sackman for appointment by the Mayor to the New York City Department for the Aging Advisory Council."
T2023-3125,,N/A,Adopted,Brooklyn Delegation of the New York City Council,,0,"Meeting of the Brooklyn Delegation of the New York City Council, pursuant to Section 2403 of the Charter, recommending Blondell Lighty for appointment by the Mayor to the New York City Department for the Aging Advisory Council."
T2023-3123,,N/A,Adopted,Brooklyn Delegation of the New York City Council,,0,"Meeting of the Brooklyn Delegation of the New York City Council, pursuant to Section 2301 of the Charter, recommending Thomas Sorrentino for appointment by the Mayor to the New York City Taxi and Limousine Commission."
T2023-3122,,Oversight,Filed,Committee on Veterans,,0,"Oversight - The State of Veterans of Foreign Wars and American Legion Halls, as well as Other Veterans-Services Organizations with Physical Locations."
M 0133-2023,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor - Submitting the name of Dr. Judith Salerno to the Council for its advice and consent regarding her appointment to the Board of Health, pursuant to Sections 31 and 553 of the City Charter."
M 0132-2023,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor - Submitting the name of Dr. Maida Galvez to the Council for its advice and consent regarding her appointment to the Board of Health, pursuant to Sections 31 and 553 of the City Charter."
M 0131-2023,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor - Submitting the name of Dr. Angelo Acquista to the Council for its advice and consent regarding his appointment to the Board of Health, pursuant to Sections 31 and 553 of the City Charter."
M 0130-2023,,Mayor's Message,Adopted,"Committee on Rules, Privileges and Elections",,0,"Communication from the Mayor - Submitting the name of Dr. Michael Lindsey to the Council for its advice and consent regarding his appointment to the Board of Health, pursuant to Sections 31 and 553 of the City Charter."
Res 0530-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,2,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget.
T2023-3114,,Oversight,Filed,Committee on Health,,0,Oversight – Improving Access to In-Community and At-Home Health Car
T2023-3086,,Oversight,Filed (End of Session),Committee on Civil Service and Labor,,0,Oversight - Permanent Teleworking Option for City Employees.
Res 0518-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,RESOLUTION APPROVING A MODIFICATION (MN-3) PURSUANT TO SECTION 107(e) OF THE CHARTER OF THE CITY OF NEW YORK.
Res 0519-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 1600, Lot 1002) Manhattan, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 174)."
Res 0517-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,RESOLUTION APPROVING FOR FISCAL YEAR 2024 THE SCHEDULE DETAILING THE LUMP SUM OTHER THAN PERSONAL SERVICES UNIT OF APPROPRIATION OF THE OPERATING BUDGET OF THE COUNCIL OF THE CITY OF NEW YORK.
Res 0516-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,RESOLUTION APPROVING THE FISCAL YEAR 2024 OPERATING BUDGET OF THE COUNCIL OF THE CITY OF NEW YORK.
Int 0953-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Kalman Yeger,7,"A Local Law to amend the administrative code of the city of New York, in relation to limiting increases of occupancy fees for self-storage units and restricting the reasons for termination of an occupancy agreement"
Int 0952-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Kalman Yeger,8,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting late fees for self-storage units"
Int 0951-2023,,Introduction,Filed (End of Session),Committee on Fire and Emergency Management,Lincoln Restler,13,"A Local Law to amend the New York city fire code, in relation to rooftop access requirements for buildings with solar panel installations."
Int 0950-2023,,Introduction,Filed (End of Session),Committee on Fire and Emergency Management,Keith Powers,30,"A Local Law to amend the administrative code of the city of New York, in relation to requiring businesses using bicycles for commercial purposes to provide bicycle operators with fireproof or fire-resistant containers for removable storage batteries used to power motor-assisted bicycles"
Int 0949-2023,2023/131,Introduction,Enacted,Committee on Fire and Emergency Management,Keith Powers,39,"A Local Law in relation to the establishment of a trade-in program for powered mobility devices and lithium-ion batteries used in powered mobility devices, and to provide for the repeal of such local law upon the expiration thereof"
Res 0511-2023,,Resolution,Filed (End of Session),Committee on Governmental Operations,Linda Lee,26,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, A.642/S.1215, which directs the Queens Board of Elections to provide language assistance in Bengali, Punjabi and Hindi."
Int 0947-2023,,Introduction,Filed (End of Session),Withdrawn,Farah N. Louis,2,A Local Law in relation to creating a task force to consider the impact of slavery and past injustices for African Americans in New York city and reparations for such injustices
Res 0513-2023,,Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Julie Menin,10,Resolution to declare June 3 in New York City as World Bicycle Day.
Res 0514-2023,,Resolution,Filed (End of Session),Committee on General Welfare,Chi A. Oss�,9,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, S.183/A.2418, which would amend the Social Services Law to mandate each local department of social service link persons living with HIV with benefits and services and provide that persons living with HIV who are receiving housing assistance shall not be required to pay more than 30% of household income towards shelter costs."
Res 0510-2023,,Resolution,Filed (End of Session),Committee on Housing and Buildings,Crystal Hudson,8,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, legislation denying property owners from filing eviction proceedings for tenants who reside in buildings with substantial pending housing maintenance code violations."
Int 0943-2023,,Introduction,Filed (End of Session),Committee on General Welfare,Shahana K. Hanif,16,"A Local Law to amend the New York city charter, in relation to notification of the right to be placed in shelter"
Int 0942-2023,,Introduction,Filed (End of Session),Committee on General Welfare,Shahana K. Hanif,20,"A Local Law to amend the New York city charter, in relation to minimum standards for emergency congregate housing"
Int 0940-2023,,Introduction,Filed (End of Session),Committee on Technology,Carmen N. De La Rosa,7,"A Local Law to amend the administrative code of the city of New York, in relation to adding a 311 complaint category for dog runs"
Int 0945-2023,,Introduction,Filed (End of Session),Committee on Aging,Crystal Hudson,15,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a technical support program for older adults"
Int 0939-2023,,Introduction,Filed (End of Session),Committee on Education,Selvena N. Brooks-Powers,12,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of education to conduct a biannual study on student access to home internet and electronic devices"
Int 0941-2023,,Introduction,Filed (End of Session),Committee on Women and Gender Equity,Jennifer Gutiérre,35,"A Local Law to amend the New York city charter, in relation to establishing an office of child care to oversee free child care for all city residents"
Res 0509-2023,,Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",James F. Gennaro,31,Resolution declaring April as Sikh Awareness and Appreciation Month in New York City.
M 0129-2023,,Communication,Filed (End of Session),Committee on Finance,,0,"Communication from the Office of Management & Budget - Transfer City funds between various agencies in Fiscal Year 2023 to implement changes to the City's expense budget, pursuant to Section 107(b) of the New York City Charter. (MN-4)"
M 0128-2023,,Communication,Adopted,Committee on Finance,,0,"Communication from the Office of Management & Budget - Appropriation of new City revenues in Fiscal Year 2023, pursuant to Section 107(e) of the New York City Charter (MN-3)"
M 0127-2023,,Communication,"Received, Ordered, Printed and Filed",Committee on Finance,,0,"Communication from the Office of Management & Budget - Withdrawal of M 0122-2023 (MN-2) - Transfer City funds between various agencies in Fiscal Year 2023 to implement changes to the City's expense budget, pursuant to Section 107(b) of the New York City Charter."
M 0126-2023,,Communication,Adopted,Committee on Finance,,0,Schedule detailing the lump sum OTPS Unit of Appropriation of the Operating Budget of the Council of the City of New York.
M 0125-2023,,Communication,Adopted,Committee on Finance,,0,The Operating Budget of the Council of the City of New York.
Res 0529-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections","By the Committee on Rules, Privileges & Elections",0,Resolution pursuant to Rule 7.00 making changes to the membership of certain committees of the Council.
Res 0528-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections","By the Committee on Rules, Privileges & Elections",0,"Resolution making certain amendments to Rule 7.00(a) of the Rules of the Council in relation to the Standing Committees, Sub-Committees, and Special Committees of the Council."
Res 0508-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget.
Res 0522-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution affirming the designation by the Landmarks Preservation Commission of the Lesbian Herstory Archives located at 484 14th Street (Tax Map Block 1103, Lot 31), Borough of Brooklyn, Designation List No. 528, LP-2662 (L.U. No. 167; N 230154 HIK)."
Res 0527-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the site plan for a new, approximately, 659-Seat High School located at 13-20 124th Street a/k/a 123-15 14th Avenue (Block 3998, Lot 1), Community District 7, Borough of Queens (Non-ULURP No. G 220028 SCQ; Preconsidered L.U. No. 177)."
Res 0526-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution approving the site plan for a new, approximately, 547-Seat Primary School Facility, located at 23-10 43rd Avenue (Block 436, Lot 21), Community District 2, Borough of Queens (Non-ULURP No. G 220027 SCQ; Preconsidered L.U. No. 176)."
Res 0525-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution affirming the designation by the Landmarks Preservation Commission of the Melrose Parkside Historic District, Borough of Brooklyn, Designation List No. 530, LP-2664 (Pre. L.U. No. 175; N 230177 HKK)."
Res 0524-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution affirming the designation by the Landmarks Preservation Commission of the Julius’ Bar Building located at 155-159 West 10th Street (aka 186-188 Waverly Place) (Block 611, Lot 30), Borough of Manhattan, Designation List No. 529, LP-2663 (L.U. No. 171; N 230167 HIM"
Res 0523-2023,,Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution affirming the designation by the Landmarks Preservation Commission of the Samuel Gompers Industrial High School located at 455 Southern Boulevard (Tax Map Block 2576, Lot 26), Borough of the Bronx, Designation List No. 529, LP-2666 (L.U. No. 170; N 230166 HIX)."
Res 0521-2023,,Resolution,Disapproved,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution disapproving the decision of the City Planning Commission on ULURP No. C 200013 ZSM, for the grant of a special permit (L.U. No. 166)."
Res 0520-2023,,Resolution,Disapproved,Committee on Land Use,"Rafael Salamanca, Jr.",2,"Resolution disapproving the decision of the City Planning Commission on ULURP No. C 200012 ZSM, for the grant of a special permit (L.U. No. 165)."
T2023-3066,,Oversight,Filed,Committee on Transportation and Infrastructure,,0,Oversight - Truck Routes
LU 0174-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"The Renaissance, Block 1600, Lot 1002, Manhattan, Community District No. 10, Council District No. 9."
Res 0515-2023,,Resolution,Adopted,"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Nantasha M. Williams,26,Resolution recognizing the month of Ramadan annually in the City of New York and celebrating the significant role of Muslims in the multicultural fabric of New York City communities.
LU 0178-2023,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 230045 ZRM (Otis Elevator Building – 260 Eleventh Avenue) submitted by the Circle 1 LLC, pursuant to Section 201 of the New York City Charter for an amendment to the Zoning Resolution of the City of New York, modifying provisions of the Special West Chelsea District, Borough of Manhattan, Community District 4, Council District "
LU 0177-2023,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number G 220028 SCQ (Approximately 659-Seat High School) pursuant to Section 1732 of the New York School Construction Authority Act, concerning the proposed site selection for a new approximately 659-Seat High School, located at 13-20 124th Street (Block 3998, Lot 1), Borough of Queens, Community District 7, Council District 19, Community School District 25.?"
LU 0176-2023,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number G 220027 SCQ (Approximately 547-Seat Primary School) pursuant to Section 1732 of the New York School Construction Authority Act, concerning the proposed site selection for a new approximately 547-Seat Primary School, located at 23-10 43rd Avenue (Block 436, Lot 21), Borough of Queens, Community District 2, Council District 26, Community School District 30.?"
LU 0175-2023,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number N 230177 HKK submitted by the Landmarks Preservation Commission pursuant to Section 3020 of the New York City Charter and Section 25 303 of the Administrative Code of the City of New York, for the designation of the Melrose Parkside Historic District (DL-530, LP-2664), consisting of 38 buildings located on Parkside Avenue between Flatbush and Bedford Avenues in the Flatbush neighborhood, Borough of Brooklyn, Community District 9, Council District 40."
T2023-3056,,Oversight,Filed,Committee on Housing and Buildings,,0,Oversight - Lead-Based Paint Hazards
T2023-3055,,Oversight,Filed,Committee on Health,,0,Oversight - Lead-Based Paint Hazards
Int 0938-2023,,Introduction,Filed (End of Session),Committee on Public Safety,Adrienne E. Adams,21,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the New York city police department to provide the civilian complaint review board with direct access to officer body-warn camera footage and to establish related procedures"
T2023-3054,,Oversight,Filed (End of Session),Committee on Finance,,0,Oversight - Contracting for the Migrant Crisis: Asylum seekers in New York City.
T2023-3053,,Oversight,Filed,Committee on Contracts,,0,Oversight - Contracting for the Migrant Crisis: Asylum seekers in New York City.
Res 0512-2023,,Resolution,Adopted,Committee on Hospitals,Julie Menin,8,"Resolution calling on the New York State legislature to pass, and the Governor to sign, legislation to create an independent Commission to oversee hospital services pricing for the purpose of increasing access to hospital services, promoting financial stability for hospitals, and lowering healthcare costs for New Yorkers."
T2023-3013,,Oversight,Filed,Committee on Economic Development,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 11:30 a.m. Economic Development Corporation 1:30 p.m. Publ"
T2023-3012,,Oversight,Filed,Committee on Criminal Justice,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:00 a.m. Department of Probation 10:30 a.m. Department of Correction 1:00 p.m. Board of Correction 2:00 p.m. Publ"
T2023-3011,,Oversight,Filed,Committee on Governmental Operations,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 12:30 p.m. Department of Citywide Administrative Services 1:30 p.m. Law Department 2:30 p.m. Board of Elections 3:30 p.m. Office of Administrative Trials and Hearings 4:30 p.m. Publ"
T2023-3009,,Oversight,Filed,Committee on Sanitation and Solid Waste Management,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:30 a.m. Department of Sanitation 12:30 p.m. Publ"
T2023-2999,,Oversight,Filed,Committee on Small Business,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:00 a.m. Department of Small Business Services 11:00 a.m. Publ"
T2023-3010,,Oversight,Filed,Committee on Parks and Recreation,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:00 a.m. Department of Parks & Recreation 12:00 p.m. Publ"
T2023-2990,,Oversight,Filed,Committee on Hospitals,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 2:30 p.m. Health + Hospitals 4:30 p.m. Publ"
T2023-2989,,Oversight,Filed,Committee on Contracts,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:30 a.m. Mayor's Office of Contracts 11:30 a.m. Publ"
T2023-2988,,Oversight,Filed,"Committee on Mental Health, Disabilities and Addiction",,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:00 a.m. Department of Health and Mental Hygiene Jointly with the Committee on Heal"
T2023-3005,,Oversight,Filed,"Committee on Cultural Affairs, Libraries and International Intergroup Relations",,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:30 a.m. Libraries 12:30 p.m. Department of Cultural Affairs 2:00 p.m. Publ"
T2023-3004,,Oversight,Filed,Committee on Public Safety,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:00 a.m. Police Department 1:00 p.m. Civilian Complaint Review Board 2:00 p.m. District Attorneys/Special Narcotics Prosecutor 4:00 p.m. Publ"
T2023-2987,,Oversight,Filed,Committee on Health,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report *10:00 a.m. Department of Health and Mental Hygiene 12:00 p.m. Medical Examiner 1:30 p.m. Public *Jointly with the Committee on Mental Health, Disabilities and Addicti"
T2023-3006,,Oversight,Filed,Committee on Higher Education,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:30 a.m. City University of New York 12:00 p.m. Publ"
T2023-3003,,Oversight,Filed,Committee on Consumer and Worker Protection,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 2:00 p.m. Department of Consumer and Worker Protection 3:30 p.m. Publ"
T2023-3001,,Oversight,Filed,Committee on Education,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 9:00 a.m. Department of Education (Expense) 1:00 p.m. School Construction Authority (Capital) 2:00 p.m. Publ"
T2023-2998,,Oversight,Filed,Committee on Aging,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:00 a.m. Department for the Aging 12:00 p.m. Publ"
T2023-2994,,Oversight,Filed,Committee on Housing and Buildings,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 2:00 p.m. Department of Buildings 3:30 p.m. Department of Housing Preservation and Development 5:30 p.m. Publ"
T2023-2996,,Oversight,Filed,Committee on Public Housing,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 2:30 p.m. New York City Housing Authority 4:00 p.m. Publ"
T2023-2993,,Oversight,Filed,Committee on Fire and Emergency Management,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:30 a.m. Fire/Emergency Medical Service 12:30 p.m. Office of Emergency Management 1:30 p.m. Publ"
T2023-3007,,Oversight,Filed,Committee on Transportation and Infrastructure,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:00 a.m. MTA/NYC Transit 11:30 a.m. Department of Transportation 1:30 p.m. Taxi and Limousine Commission 2:30 p.m. Publ"
T2023-3002,,Oversight,Filed,Committee on Oversight and Investigations,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 3:30 p.m. Department of Investigation 4:30 p.m. Publ"
T2023-2995,,Oversight,Filed,Committee on General Welfare,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:00 a.m. Administration for Children’s Services 11:30 a.m. Human Resources Administration / Department of Social Services / Department of Homeless Services 2:30 p.m. Pu"
T2023-2992,,Oversight,Filed,Committee on Technology,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 12:30 p.m. Department of Information, Technology & Telecommunications 1:30 p.m. Public Jointly with the Committee on Land U"
T2023-2991,,Oversight,Filed,Committee on Land Use,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:30 a.m. Landmarks Preservation Commission 11:30 a.m. Department of City Planning *12:30 p.m. Department of Information, Technology & Telecommunications 1:30 p.m. Public * Jointly with the Committee on Technolo"
T2023-3008,,Oversight,Filed,"Committee on Environmental Protection, Resiliency and Waterfronts",,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:30 a.m. Department of Environmental Protection 12:00 p.m. Publ"
T2023-3000,,Oversight,Filed,Committee on Immigration,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 1:00 p.m. Office of Immigrant Affairs 4:00 p.m. Publ"
T2023-2997,,Oversight,Filed,Committee on Youth Services,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy and The Fiscal 2023 Preliminary Mayor’s Management Report 10:00 a.m. Department of Youth and Community Development 11:30 a.m. Publ"
LU 0171-2023,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number N 230167 HIM (Julius’ Bar Building), Designation by the Landmarks Preservation Commission of the Julius’ Bar Building, 155-159 West 10th Street (Block 611, Lot 30), as an historic landmark (Designation List No. 529/LP-2663), Borough of Manhattan, Community District 2, Council Distric"
LU 0170-2023,,Land Use Application,Adopted,"Subcommittee on Landmarks, Public Sitings and Dispositions","Rafael Salamanca, Jr.",1,"Application number N 230166 HIX (The Samuel Gompers Industrial High School), Designation by the Landmarks Preservation Commission of the Samuel Gompers Industrial High School (Block 2576, Lot 26), as an historic landmark (Designation List No. 529/LP-2666), Borough of the Bronx, Community District 1, Council District 8."
Int 0937-2023,,Introduction,Filed (End of Session),Committee on Veterans,Inna Vernikov,3,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of housing preservation and development to submit reports on veteran preference in Mitchell-Lama developments"
T2023-2986,,Oversight,Filed,Committee on Finance,,0,"New York City Council Budget and Oversight Hearings on The Preliminary Budget for Fiscal Year 2024, The Preliminary Capital Plan for Fiscal Years 2024-2027, Fiscal 2024-2033 Preliminary Ten-Year Capital Strategy, and The Fiscal 2023 Preliminary Mayor’s Management Report 10:00 a.m. Office of Management and Budget 1:00 p.m. Comptroller 2:00 p.m. Independent Budget Office 3:00 p.m. Department of Finance 4:00 p.m. Department of Design and Construction 5:00 p.m. Publ"
Int 0931-2023,,Introduction,Filed (End of Session),Committee on Health,Julie Menin,6,"A Local Law to amend the New York city charter, in relation to clarifying the health code where approvals from multiple agencies are required"
